dt,9
2014-01-01,1637.0
2014-02-01,1740.0
2014-03-01,1680.0
2014-04-01,1802.0
2014-05-01,1814.0
2014-06-01,1747.0
2014-07-01,1786.0
2014-08-01,1962.0
2014-09-01,1922.0
2014-10-01,1826.0
2014-11-01,1952.0
2014-12-01,1659.0
2015-01-01,1921.0
2015-02-01,1934.0
2015-03-01,2136.0
2015-04-01,2308.0
2015-05-01,3343.0
2015-06-01,3930.0
2015-07-01,2684.0
2015-08-01,2837.0
2015-09-01,2800.0
2015-10-01,2754.0
2015-11-01,2975.0
2015-12-01,3094.0
2016-01-01,3155.0
2016-02-01,3798.0
2016-03-01,4118.0
2016-04-01,4415.0
2016-05-01,4150.0
2016-06-01,4555.0
2016-07-01,4247.0
2016-08-01,4581.0
2016-09-01,4220.0
2016-10-01,3703.0
2016-11-01,3956.0
2016-12-01,4464.0
2017-01-01,3988.0
2017-02-01,4216.0
2017-03-01,3990.0
2017-04-01,4233.0
2017-05-01,5032.0
2017-06-01,4577.0
2017-07-01,4665.0
2017-08-01,4393.0
2017-09-01,4686.0
2017-10-01,4963.0
2017-11-01,5460.0
2017-12-01,5739.0
2018-01-01,6078.0
2018-02-01,6236.0
2018-03-01,6469.0
2018-04-01,6562.0
2018-05-01,6987.0
2018-06-01,7055.0
2018-07-01,7452.0
2018-08-01,7004.0
2018-09-01,6287.0
2018-10-01,7864.0
2018-11-01,7103.0
2018-12-01,8048.0
2019-01-01,8116.0
2019-02-01,8034.0
2019-03-01,7640.0
2019-04-01,7849.0
2019-05-01,8740.0
2019-06-01,8885.0
2019-07-01,8826.0
2019-08-01,8829.0
2019-09-01,8120.0
2019-10-01,9123.0
2019-11-01,9609.0
2019-12-01,7920.0
2020-01-01,9443.0
2020-02-01,9696.0
2020-03-01,9445.0
2020-04-01,8932.0
2020-05-01,8695.0
2020-06-01,8973.0
2020-07-01,8750.0
2020-08-01,9102.0
2020-09-01,10101.0
2020-10-01,9290.0
2020-11-01,9229.0
2020-12-01,9199.0
2021-01-01,9257.0
2021-02-01,9061.0
2021-03-01,10274.0
2021-04-01,9401.0
2021-05-01,9326.0
2021-06-01,9312.0
2021-07-01,9752.0
2021-08-01,10495.0
2021-09-01,10834.0
2021-10-01,9686.0
2021-11-01,10578.0
2021-12-01,11324.0
2022-01-01,10959.0
2022-02-01,10564.0
2022-03-01,11307.0
2022-04-01,12160.0
2022-05-01,12126.0
2022-06-01,12190.0
2022-07-01,12751.0
2022-08-01,13142.0
2022-09-01,14571.0
2022-10-01,12816.0
2022-11-01,13855.0
2022-12-01,14244.0
2023-01-01,15589.0
2023-02-01,17920.0
2023-03-01,18015.0
2023-04-01,17943.0
2023-05-01,18232.0
2023-06-01,18735.0
2023-07-01,19641.0
2023-08-01,20498.0
2023-09-01,21285.0
2023-10-01,23720.0
2023-11-01,23864.0
2023-12-01,24238.0
2024-01-01,26412.0
2024-02-01,28319.0
2024-03-01,30172.0
2024-04-01,28069.0
2024-05-01,32271.0
2024-06-01,35304.0
2024-07-01,36124.0
2024-08-01,36668.0
2024-09-01,37576.0
2024-10-01,40048.0
2024-11-01,40951.0
2024-12-01,44703.0
2025-01-01,45341.0
2025-02-01,46409.0
2025-03-01,46593.0
2025-04-01,52818.0
2025-05-01,48210.0
2025-06-01,46850.0
2025-07-01,47810.0
2025-08-01,49052.0
2025-09-01,50700.0
2025-10-01,54260.0
2025-11-01,53043.0
2025-12-01,55461.0
2026-01-01,56211.0
2026-02-01,57361.0
2026-03-01,58121.0
2026-04-01,61859.0
2026-05-01,63843.0
2026-06-01,68297.0
